Timestamp, State1, State2
0.0, 0, 0
999.0, 1, 0
1999.0, 1, 1
3000.0, 0, 1
4000.0, 0, 0
5001.0, 1, 0
6001.0, 1, 1
7002.0, 0, 1
8002.0, 0, 0
9003.0, 1, 0
10003.0, 1, 1
11003.0, 0, 1
12004.0, 0, 0
13003.0, 1, 0
14004.0, 1, 1
15004.0, 0, 1
16005.0, 0, 0
17005.0, 1, 0
18006.0, 1, 1
19006.0, 0, 1
20006.0, 0, 0
21007.0, 1, 0
22007.0, 1, 1
23008.0, 0, 1
24008.0, 0, 0
25009.0, 1, 0
26009.0, 1, 1
27010.0, 0, 1
28010.0, 0, 0
29010.0, 1, 0
30011.0, 1, 1
31011.0, 0, 1
32012.0, 0, 0
33012.0, 1, 0
34013.0, 1, 1
35013.0, 0, 1
36014.0, 0, 0
37014.0, 1, 0
38014.0, 1, 1
39015.0, 0, 1
40015.0, 0, 0
41016.0, 1, 0
42016.0, 1, 1
43016.0, 0, 1
44016.0, 0, 0
45017.0, 1, 0
46017.0, 1, 1
47017.0, 0, 1
48018.0, 0, 0
49018.0, 1, 0
50019.0, 1, 1
51019.0, 0, 1
52020.0, 0, 0
53020.0, 1, 0
54021.0, 1, 1
55021.0, 0, 1
56022.0, 0, 0
57022.0, 1, 0
58022.0, 1, 1
59023.0, 0, 1
