Time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1773153123.106654,-0.3840480273,-0.08015955709999999,9.6227360859,0.05726861608106395,0.04535674393620265,0.009621127501618741,0.18242000000000003,-0.035980000000000005,-0.39564000000000005
1773153123.6152353,-0.36011980130000004,-0.05084748024999999,9.6957171752,0.05299255941367784,0.03054326190990077,0.005803219762881146,0.17738000000000004,-0.021700000000000004,-0.41552000000000006
1773153124.1242678,-0.30149564759999997,-0.07178467799999999,9.689136913049998,0.04673119072214818,0.016493361431346415,0.009010262263420728,0.18214000000000002,-0.025340000000000005,-0.40558000000000005
1773153124.6306942,-0.29850461935,-0.06759723845,9.549754996599999,0.04642575810304917,0.02229658119422756,0.009010262263420728,0.17850000000000002,-0.030940000000000002,-0.39942
1773153125.1344962,-0.29491538544999996,-0.05503491979999999,9.68674409045,0.041080687268816536,0.02168571595602955,0.011606439525762293,0.18298000000000003,-0.023660000000000004,-0.40824000000000005
1773153125.638342,-0.30448667585,-0.08015955709999999,9.6382894328,0.04535674393620265,0.021227567027381034,0.006261368691529657,0.17934,-0.02142,-0.4081
1773153126.1421475,-0.33020951879999993,-0.12143574694999999,9.57547783955,0.04245513405476207,0.01893682238413848,0.009315694882519735,0.18270000000000003,-0.025060000000000002,-0.41048
1773153126.6459224,-0.31286155495,-0.06520441585,9.62333429155,0.04444044607890562,0.018784106074588976,0.00946841119206924,0.17654000000000003,-0.027020000000000002,-0.3960600000000001
1773153127.1496775,-0.28235306679999994,-0.0897308475,9.7555377402,0.04581489286485116,0.02168571595602955,0.00946841119206924,0.18186000000000002,-0.02926,-0.39732000000000006
1773153127.6535463,-0.29491538544999996,-0.07836494014999999,9.6861458848,0.04642575810304917,0.020005836550985007,0.008704829644321718,0.18130000000000002,-0.023940000000000003,-0.41622000000000003
1773153128.1573906,-0.31704899449999996,-0.06161518194999999,9.665208687049999,0.04276056667386108,0.019700403931885997,0.01069014166846527,0.1729,-0.030940000000000002,-0.39928
1773153128.6611907,-0.30687949845,-0.07357929495,9.7172525786,0.0435241482216086,0.02168571595602955,0.00946841119206924,0.18046,-0.026740000000000003,-0.40824000000000005
1773153129.1649976,-0.2775674216,-0.09990034354999999,9.62213788025,0.050243665841786765,0.024434609527920616,0.010384709049366262,0.18046,-0.026180000000000002,-0.4142600000000001
1773153129.672138,-0.43250268495,-0.029910282499999996,9.7375915707,0.048258353817643214,0.021227567027381034,0.008246680715673207,0.17318,-0.02142,-0.39802000000000004
1773153130.1806161,-0.3236292566499999,-0.08434699664999999,9.629914553699999,0.04535674393620265,0.022754730122876075,0.010231992739816757,0.18130000000000002,-0.030660000000000003,-0.41076000000000007
1773153130.689243,-0.28654050634999995,-0.04127618984999999,9.6658068927,0.049938233222687756,0.02168571595602955,0.010079276430267254,0.17850000000000002,-0.027020000000000002,-0.39914000000000005
1773153131.1976256,-0.34815568830000004,-0.05204389154999999,9.643075077999999,0.049327367984489744,0.020769418098732523,0.01069014166846527,0.18158000000000002,-0.028980000000000002,-0.40082000000000007
