DAC,ADC0,ADC1,ADC2,ADC3
2060,20051,4474,3720,-1
2064,20084,4505,3745,-1
2068,20117,4537,3773,-1
2072,20151,4571,3799,-1
2076,20189,4602,3826,-1
2080,20227,4631,3853,-1
2084,20264,4664,3880,-1
2088,20293,4697,3905,-1
2092,20329,4729,3931,-1
2096,20363,4759,3955,-1
2100,20402,4790,3983,-1
2104,20433,4823,4010,-1
2108,20468,4853,4035,-1
2112,20502,4885,4062,-1
2116,20546,4923,4089,-1
2120,20586,4957,4121,-1
2124,20625,4993,4153,-1
2128,20666,5034,4182,-1
2132,20706,5070,4212,-1
2136,20747,5106,4242,-1
2140,20790,5143,4274,-1
2144,20829,5181,4305,-1
2148,20869,5218,4334,-1
2152,20911,5256,4365,-1
2156,20951,5291,4393,-1
2160,20989,5326,4427,-1
2164,21031,5363,4456,-1
2168,21070,5400,4486,-1
2172,21110,5436,4516,-1
2176,21150,5474,4546,-1
2180,21185,5503,4573,-1
2184,21217,5535,4600,-2
2188,21255,5569,4627,-1
2192,21289,5600,4650,-1
2196,21321,5630,4676,-1
2200,21359,5663,4703,-1
2204,21393,5695,4730,-1
2208,21425,5726,4753,-1
2212,21463,5760,4781,-1
2216,21496,5789,4805,-1
2220,21529,5819,4833,-1
2224,21562,5847,4856,-1
2228,21597,5885,4881,-1
2232,21632,5915,4907,-1
2236,21666,5945,4935,-1
2240,21702,5976,4960,-1
2244,21742,6012,4990,-1
2248,21778,6050,5020,-1
2252,21821,6088,5050,-1
2256,21860,6124,5080,-1
2260,21900,6157,5110,-1
2264,21938,6196,5138,-2
2268,21978,6232,5169,-1
2272,22018,6270,5198,-1
2276,22056,6305,5227,-1
2280,22099,6339,5258,-1
2284,22134,6374,5287,-1
2288,22174,6413,5316,-1
2292,22216,6450,5345,-1
2296,22254,6484,5378,-2
2300,22293,6520,5409,-1
2304,22332,6557,5441,-1
2308,22367,6591,5464,-1
2312,22405,6626,5492,-1
2316,22437,6656,5520,-1
2320,22476,6689,5547,-1
2324,22511,6721,5577,-1
2328,22546,6756,5600,-1
2332,22584,6791,5626,-1
2336,22621,6824,5654,-1
2340,22654,6854,5682,-1
2344,22691,6889,5711,-1
2348,22724,6922,5737,-1
2352,22757,6951,5761,-1
2356,22794,6984,5788,-1
2360,22831,7016,5817,-1
2364,22867,7051,5842,-2
2368,22897,7080,5868,-1
2372,22941,7118,5897,-1
