DAC,ADC0,ADC1,ADC2,ADC3
2080,20361,14,13,-1
2084,20394,15,15,-1
2088,20433,18,17,-1
2092,20465,20,19,-1
2096,20503,23,22,-1
2100,20540,26,26,-1
2104,20575,29,29,-1
2108,20609,33,33,-1
2112,20647,38,37,-1
2116,20689,43,42,-1
2120,20733,49,48,-1
2124,20770,55,54,-1
2128,20813,63,61,0
2132,20857,70,69,-1
2136,20897,79,77,-1
2140,20935,87,86,-1
2144,20980,98,96,-1
2148,21019,108,106,-1
2152,21062,120,117,-1
2156,21104,133,130,-1
2160,21145,144,142,-1
2164,21188,157,155,-1
2168,21225,171,168,-1
2172,21264,185,181,-1
2176,21308,201,196,-1
2180,21344,212,209,-1
2184,21378,226,223,-1
2188,21413,241,236,-1
2192,21450,255,250,-1
2196,21483,269,264,-1
2200,21519,284,279,-1
2204,21555,298,295,-1
2208,21588,315,309,-1
2212,21620,329,323,-1
2216,21656,346,340,-1
2220,21690,361,356,-1
2224,21726,379,372,-1
2228,21759,394,387,-1
2232,21795,411,404,-1
2236,21830,429,422,-1
2240,21865,446,439,-1
2244,21904,466,458,-1
2248,21942,486,480,-1
2252,21983,507,500,-1
2256,22022,529,521,-1
2260,22064,549,542,-1
2264,22102,570,561,-1
2268,22142,592,583,-1
2272,22179,615,604,-1
2276,22221,635,626,-1
2280,22261,659,648,-1
2284,22299,681,670,-1
2288,22339,704,691,-1
2292,22382,727,715,-1
2296,22419,748,736,-1
2300,22459,771,760,-1
2304,22499,797,783,-1
2308,22534,816,804,-1
2312,22568,838,824,-1
2316,22605,856,844,-1
2320,22641,879,866,-1
2324,22676,901,887,-2
2328,22712,923,907,-2
2332,22748,944,927,-2
2336,22780,964,951,-1
2340,22816,986,970,-2
2344,22849,1008,992,-2
2348,22885,1029,1013,-2
2352,22924,1050,1034,-2
2356,22956,1072,1056,-2
2360,22993,1095,1078,-2
2364,23025,1118,1099,-1
2368,23064,1142,1121,-2
2372,23100,1166,1146,-2
2376,23144,1189,1171,-2
2380,23177,1213,1195,-2
2384,23218,1241,1219,-2
2388,23258,1267,1244,-2
2392,23298,1290,1269,-2
2396,23339,1316,1294,-1
2400,23378,1344,1320,-2
2404,23416,1369,1346,-2
2408,23456,1395,1372,-2
2412,23496,1419,1396,-2
2416,23536,1444,1421,-2
2420,23575,1472,1448,-2
2424,23614,1498,1474,-2
2428,23654,1524,1499,-2
2432,23697,1550,1524,-2
2436,23730,1574,1548,-2
2440,23764,1597,1573,-2
2444,23794,1620,1594,-2
2448,23833,1643,1618,-2
2452,23867,1665,1641,-2
2456,23902,1687,1663,-2
2460,23933,1712,1684,-2
2464,23968,1736,1707,-2
2468,24004,1759,1730,-2
2472,24040,1783,1755,-2
2476,24070,1806,1777,-2
2480,24106,1830,1799,-2
2484,24140,1854,1823,-2
2488,24175,1877,1848,-2
2492,24211,1901,1870,-3
2496,24245,1924,1894,-2
2500,24287,1955,1922,-3
2504,24325,1981,1949,-2
2508,24366,2009,1976,-2
2512,24407,2034,2003,-2
2516,24447,2064,2031,-2
2520,24486,2092,2059,-3
2524,24529,2122,2086,-2
2528,24568,2147,2115,-2
2532,24610,2178,2142,-2
2536,24648,2205,2170,-3
2540,24690,2235,2199,-3
2544,24728,2263,2225,-3
2548,24772,2292,2256,-3
2552,24809,2318,2281,-3
2556,24850,2349,2310,-3
2560,24890,2377,2335,-2
2564,24925,2402,2362,-3
2568,24964,2427,2387,-2
2572,24997,2452,2412,-3
2576,25031,2477,2434,-3
2580,25063,2501,2460,-3
2584,25100,2525,2485,-3
2588,25135,2551,2510,-3
2592,25171,2577,2535,-3
2596,25203,2601,2558,-3
2600,25237,2625,2582,-3
2604,25272,2649,2607,-3
2608,25304,2672,2630,-3
2612,25341,2697,2655,-3
2616,25372,2724,2679,-3
2620,25409,2749,2703,-3
2624,25442,2775,2728,-3
2628,25485,2803,2756,-3
2632,25522,2832,2787,-3
2636,25561,2861,2815,-3
2640,25604,2890,2842,-3
2644,25645,2920,2873,-3
2648,25685,2947,2900,-3
2652,25722,2978,2928,-3
2656,25760,3005,2956,-3
2660,25796,3032,2982,-3
2664,25834,3060,3012,-3
2668,25878,3090,3041,-3
2672,25916,3120,3069,-3
2676,25954,3150,3095,-3
2680,25996,3180,3126,-3
2684,26033,3204,3153,-3
2688,26074,3234,3182,-3
2692,26103,3261,3205,-3
2696,26139,3287,3231,-3
2700,26174,3310,3255,-3
2704,26209,3335,3282,-3
2708,26244,3362,3309,-3
2712,26277,3388,3332,-4
2716,26311,3414,3357,-3
2720,26350,3440,3383,-3
2724,26382,3465,3409,-4
2728,26419,3491,3436,-3
2732,26450,3518,3459,-3
2736,26488,3546,3486,-4
2740,26522,3571,3512,-3
2744,26558,3598,3540,-3
2748,26592,3625,3565,-4
2752,26626,3650,3589,-4
2756,26666,3680,3619,-4
2760,26705,3707,3649,-3
2764,26747,3739,3677,-4
2768,26784,3769,3708,-4
2772,26822,3798,3734,-4
2776,26859,3829,3763,-4
2780,26898,3853,3790,-4
2784,26938,3883,3822,-4
