DAC,ADC0,ADC1,ADC2,ADC3
2076,20177,3824,3813,0
2080,20214,3857,3842,0
2084,20247,3886,3873,0
2088,20282,3917,3905,-1
2092,20319,3948,3935,0
2096,20353,3980,3970,0
2100,20386,4012,3998,-1
2104,20421,4043,4026,0
2108,20460,4075,4059,-1
2112,20493,4105,4090,-1
2116,20534,4140,4127,0
2120,20575,4179,4163,0
2124,20614,4216,4198,-1
2128,20654,4251,4234,0
2132,20696,4286,4272,0
2136,20735,4323,4308,0
2140,20771,4357,4342,-1
2144,20811,4394,4376,0
2148,20854,4431,4413,0
2152,20893,4466,4452,0
2156,20937,4505,4492,0
2160,20974,4540,4525,0
2164,21016,4578,4560,-1
2168,21057,4613,4596,-1
2172,21098,4650,4634,0
2176,21137,4686,4671,0
2180,21169,4716,4699,0
2184,21202,4749,4731,-1
2188,21235,4779,4759,-1
2192,21270,4809,4793,-1
2196,21307,4843,4826,-1
2200,21340,4872,4854,0
2204,21372,4904,4884,0
2208,21410,4936,4919,0
2212,21443,4966,4950,0
2216,21477,5000,4983,-1
2220,21510,5031,5013,0
2224,21544,5064,5044,-1
2228,21578,5095,5074,0
2232,21614,5124,5109,-1
2236,21650,5158,5140,0
2240,21677,5186,5167,-1
2244,21718,5225,5204,0
2248,21760,5260,5242,-1
2252,21797,5296,5276,0
2256,21837,5333,5313,0
2260,21877,5373,5350,-1
2264,21913,5408,5386,0
2268,21956,5440,5421,0
2272,21993,5478,5459,0
2276,22031,5512,5494,0
2280,22071,5550,5531,0
2284,22114,5590,5568,0
2288,22151,5625,5604,-1
2292,22192,5659,5640,-1
2296,22230,5697,5679,0
2300,22270,5736,5714,0
2304,22308,5771,5750,-1
2308,22345,5804,5784,0
2312,22378,5836,5814,-1
2316,22410,5867,5847,-1
2320,22446,5903,5878,0
2324,22482,5933,5912,0
2328,22519,5968,5945,0
2332,22556,6000,5982,-1
2336,22587,6035,6012,0
2340,22622,6066,6042,0
2344,22657,6099,6076,0
2348,22671,6112,6090,0
2352,22674,6116,6093,0
2356,22675,6119,6095,-1
2360,22674,6119,6098,0
2364,22677,6122,6098,0
2368,22676,6120,6098,-1
2372,22676,6121,6099,0
2376,22675,6123,6099,0
2380,22674,6123,6100,0
2384,22675,6123,6100,0
2388,22674,6124,6102,0
2392,22674,6125,6102,0
2396,22674,6125,6103,0
2400,22673,6125,6102,0
2404,22673,6125,6103,0
2408,22673,6126,6104,0
2412,22672,6127,6104,-1
2416,22672,6128,6105,0
2420,22671,6127,6104,0
2424,22671,6128,6105,0
2428,22670,6128,6106,0
2432,22670,6128,6106,0
2436,22670,6129,6106,0
2440,22670,6129,6106,0
2444,22669,6129,6107,0
2448,22668,6129,6106,0
2452,22669,6129,6107,0
2456,22667,6130,6108,-1
2460,22667,6130,6107,0
2464,22667,6130,6108,0
2468,22666,6130,6108,0
2472,22665,6130,6108,0
2476,22666,6131,6109,-1
2480,22666,6131,6109,0
2484,22666,6132,6110,0
2488,22665,6131,6109,-1
2492,22664,6131,6109,-1
2496,22664,6133,6110,0
2500,22665,6132,6110,0
2504,22664,6132,6110,0
2508,22662,6131,6108,0
2512,22662,6132,6109,0
2516,22662,6132,6110,0
2520,22661,6132,6109,0
2524,22661,6133,6109,0
2528,22661,6133,6110,0
2532,22660,6132,6110,0
2536,22658,6131,6109,0
2540,22658,6131,6108,0
2544,22658,6131,6109,0
2548,22657,6131,6110,0
2552,22656,6132,6109,0
2556,22655,6131,6110,0
2560,22656,6132,6109,-1
2564,22656,6131,6110,0
2568,22655,6131,6109,-1
2572,22655,6133,6110,0
2576,22654,6132,6110,0
2580,22657,6134,6110,0
2584,22655,6133,6112,0
