DAC,ADC0,ADC1,ADC2,ADC3
2080,20361,0,0,0
2084,20395,0,0,-1
2088,20432,0,0,-1
2092,20469,0,0,-1
2096,20505,0,0,-1
2100,20538,0,0,-1
2104,20571,0,0,-1
2108,20610,0,0,-1
2112,20653,0,0,-1
2116,20691,0,0,-1
2120,20733,0,0,-1
2124,20773,1,0,-1
2128,20815,1,0,-1
2132,20858,1,0,-1
2136,20901,1,0,-1
2140,20945,0,0,-1
2144,20980,1,1,0
2148,21027,1,1,-1
2152,21068,1,1,-1
2156,21109,1,0,-1
2160,21154,1,1,-1
2164,21197,1,1,-1
2168,21235,1,1,-1
2172,21279,1,1,-1
2176,21322,1,1,-1
2180,21355,1,1,-1
2184,21390,2,1,-1
2188,21425,1,1,-1
2192,21461,2,1,-1
2196,21501,2,2,-1
2200,21532,2,2,-1
2204,21568,2,1,-1
2208,21604,2,2,-1
2212,21639,3,2,-1
2216,21672,2,2,-1
2220,21711,3,2,-1
2224,21748,3,3,-1
2228,21782,3,3,-1
2232,21820,3,3,-1
2236,21856,3,3,-1
2240,21892,3,3,-1
2244,21934,4,4,-1
2248,21974,4,4,-1
2252,22013,4,4,-1
2256,22058,4,4,-1
2260,22100,5,5,-1
2264,22139,5,5,-1
2268,22180,5,5,-1
2272,22221,6,5,-1
2276,22261,6,6,-1
2280,22306,6,6,-1
2284,22346,7,6,-1
2288,22387,7,7,-1
2292,22425,8,7,-1
2296,22467,8,8,-1
2300,22509,8,8,-1
2304,22553,9,9,-1
2308,22587,9,9,-1
2312,22622,10,10,-1
2316,22662,10,10,-1
2320,22696,11,10,-1
2324,22737,11,11,-1
2328,22771,11,11,-1
2332,22804,12,12,-1
2336,22843,13,13,-1
2340,22877,13,13,-1
2344,22913,14,14,-1
2348,22951,15,15,-1
2352,22986,15,15,-1
2356,23025,16,16,-1
2360,23061,17,17,-1
2364,23097,18,17,-1
2368,23138,19,18,-1
2372,23177,20,19,-1
2376,23218,20,21,-1
2380,23262,22,22,-1
2384,23302,23,23,-1
2388,23345,25,24,-1
2392,23385,26,25,-1
2396,23424,28,27,-1
2400,23463,30,29,-1
2404,23509,31,31,-1
2408,23551,34,33,-1
2412,23591,36,36,-1
2416,23634,38,38,-1
2420,23674,41,41,-1
2424,23714,44,44,-1
2428,23756,48,47,-1
2432,23797,51,51,-1
2436,23832,55,55,-1
2440,23872,59,58,-1
2444,23907,63,63,-1
2448,23940,67,67,-1
2452,23976,72,72,-1
2456,24013,78,77,-1
2460,24049,83,82,-1
2464,24088,90,89,-1
2468,24123,96,95,-1
2472,24158,102,102,-1
2476,24192,109,109,-1
2480,24228,118,116,-1
2484,24264,127,126,-1
2488,24303,135,134,-1
2492,24335,143,143,-1
2496,24369,153,152,-1
2500,24412,165,165,-1
2504,24454,177,176,-1
2508,24496,189,189,-1
2512,24537,203,202,-1
2516,24580,217,216,-1
2520,24620,233,231,-1
2524,24659,246,244,-1
2528,24703,261,259,-1
2532,24744,277,276,-1
2536,24785,293,291,-1
2540,24826,310,307,-1
2544,24870,328,326,-1
2548,24910,343,342,-1
2552,24954,362,360,-1
2556,24992,380,378,-1
2560,25035,399,396,-1
2564,25069,415,412,-1
2568,25108,431,430,-1
2572,25141,449,446,-1
2576,25175,464,463,-1
2580,25213,482,479,-1
2584,25249,500,497,-1
2588,25285,518,516,-1
2592,25318,535,531,-1
2596,25356,554,549,-1
2600,25390,570,567,-1
2604,25426,589,585,-1
2608,25463,607,604,-1
2612,25495,624,624,-1
2616,25533,645,642,-1
2620,25565,663,660,-1
2624,25602,684,680,-1
2628,25644,705,701,-1
2632,25686,726,724,-1
2636,25724,749,746,-1
2640,25761,772,767,-1
2644,25802,794,789,-1
2648,25838,814,811,-1
2652,25879,837,834,-1
2656,25922,862,858,-1
2660,25964,886,880,-1
2664,26001,910,906,-1
2668,26037,930,927,-1
2672,26083,957,953,-1
2676,26117,980,976,-1
2680,26159,1004,998,-1
2684,26201,1030,1022,-1
2688,26242,1052,1048,-1
2692,26279,1077,1071,-1
2696,26309,1095,1091,-1
2700,26342,1118,1111,-1
2704,26376,1141,1133,-1
2708,26411,1160,1156,-1
2712,26448,1183,1179,-1
2716,26484,1205,1199,-1
2720,26517,1228,1221,-1
2724,26555,1251,1244,-1
2728,26588,1273,1266,-1
2732,26619,1292,1287,-1
2736,26654,1316,1309,-1
2740,26689,1340,1332,-2
2744,26728,1363,1356,-1
2748,26762,1386,1378,-1
2752,26794,1407,1401,-1
2756,26834,1434,1428,-1
2760,26874,1462,1454,-1
2764,26912,1489,1479,-1
2768,26955,1515,1508,-2
2772,26994,1540,1534,-2
2776,27034,1570,1563,-2
2780,27074,1598,1589,-2
2784,27115,1624,1617,-2
