Time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1773153380.524743,-0.047856451999999994,0.25722842949999997,9.55992449265,0.08735372906231621,0.04886921905584123,0.009926560120717751,0.23646000000000003,0.24794000000000002,-0.3330600000000001
1773153381.0285757,0.14057832774999998,0.18185451760000002,9.7842516114,0.04459316238845512,0.007788531787024696,0.00946841119206924,0.22918000000000002,0.24374,-0.32872
1773153381.5326264,0.26021945775,0.2225325018,9.705288465599999,0.018020524526841455,0.039553524173321496,0.026878070480712675,0.22526000000000002,0.24178000000000002,-0.33124000000000003
1773153382.0364494,0.08315058534999999,0.2835494781,9.6945207639,0.041691552507014555,0.020005836550985007,0.007941248096574201,0.23086,0.23870000000000002,-0.32522
1773153382.540222,0.0263210486,0.29850461935,9.63170917065,0.050549098460885775,0.021532999646480044,0.007330382858376185,0.24206000000000003,0.23702,-0.33068000000000003
1773153383.044023,0.08913264185,0.38644084989999994,9.6418786667,0.04474587869800463,0.019853120241435502,0.008552113334772215,0.23450000000000004,0.24626,-0.33194000000000007
1773153383.5521164,0.07597211755,0.12562318649999998,9.6705925379,0.0476474885794452,0.019394971312786988,0.015118914645400881,0.23254000000000002,0.24178000000000002,-0.32802000000000003
1773153384.0605817,0.051445685899999996,0.14297115034999996,9.6801638283,0.052534410485029326,0.029168815123955236,0.16386460014661763,0.24682,0.24486000000000002,-0.31962
1773153384.5690563,0.014955141249999998,0.16211373114999997,9.615557618099999,0.05345070834232635,0.02855794988575722,0.18432858562625115,0.26166,0.23478000000000002,-0.32508000000000004
1773153385.0777411,0.017946169499999998,0.33080772444999995,9.6167540294,0.05390885727097486,0.02977968036215325,0.25335635754262686,0.28546000000000005,0.22078000000000003,-0.33852000000000004
1773153385.5867867,0.0789631458,0.41515472109999996,9.611968384199999,0.05192354524683131,0.028863382504856226,0.1580613803837365,0.31150000000000005,0.20286,-0.34104
1773153386.0957565,0.19621145319999997,0.18185451760000002,9.700502820399999,0.04917465167494024,0.026878070480712675,0.18509216717399865,0.32886000000000004,0.19474,-0.32578
1773153386.6043003,0.10348957745,0.16630117069999997,9.6993064091,0.04856378643674222,0.02977968036215325,0.1744020255055334,0.33642,0.17626000000000003,-0.32200000000000006
1773153387.1127894,0.07357929495,0.0167497582,9.6622176588,0.0552833040569204,0.029474247743054245,0.22052235098948356,0.35266000000000003,0.15582000000000001,-0.3234
1773153387.6206298,0.0382851616,0.09810572659999998,9.5964150373,0.053603424651875856,0.03329215548179184,0.24923301718479027,0.36162000000000005,0.13734,-0.32928
1773153388.129272,0.04725824635,0.16091731985,9.6634140701,0.050854531079984784,0.02932153143350474,0.2649627970683892,0.38262000000000007,0.10934,-0.3353
1773153388.636832,0.047856451999999994,0.16689937635,9.6526463684,0.052839843104128335,0.031764992386296806,0.19517144360426592,0.38038000000000005,0.08610000000000001,-0.32886000000000004
1773153389.1455948,0.023928225999999997,0.18843477974999998,9.67238715485,0.051159963699083794,0.0238237442897226,0.19685132300931046,0.39578,0.06062000000000001,-0.3353
1773153389.6498225,0.0789631458,0.16689937635,9.61735223505,0.0474947722698957,0.02825251726665821,0.2335032373011914,0.3983,0.048580000000000005,-0.33348
