Time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1773161977.5956738,-0.1363908882,-0.4450650036,9.722636429449999,0.029932396671702752,0.04703662334124718,0.009315694882519735,0.054740000000000004,-0.053340000000000005,-0.1869
1773161977.649013,-0.20877377184999998,-0.08673981925,9.7340023368,0.04688390703169768,0.010384709049366262,0.006414085001079162,0.06958000000000002,-0.0497,-0.19698000000000002
1773161977.7028306,-0.11485548479999999,0.01256231865,9.781260583149999,0.04382958084070761,0.025961772623415653,0.003207042500539581,0.06846000000000001,-0.04718000000000001,-0.19768
1773161977.7564132,-0.41814574934999993,-0.50069812905,9.68674409045,0.04978551691313826,0.011606439525762293,0.006108652381980154,0.05754000000000001,-0.04438,-0.18116000000000002
1773161977.8097262,0.1280160091,-0.23629123174999997,9.39123049935,0.05375614096142535,0.013439035240356337,0.001069014166846527,0.0623,-0.050260000000000006,-0.18760000000000002
1773161977.8631082,-0.3332005470499999,-0.0669990328,9.757930562799999,0.052228977865930316,0.03130684345764829,0.0068722339297276735,0.07098,-0.05194000000000001,-0.20048000000000002
1773161977.9164257,-0.5048855686,-0.15493526335,9.219545477799999,0.09117163680105381,-0.014202616788103858,0.04596760917440065,0.06846000000000001,-0.046060000000000004,-0.20034000000000002
1773161977.9699304,0.27337998204999997,-0.1387837108,9.668199715299998,0.04780020488899471,0.013439035240356337,0.004886921905584123,0.06398000000000001,-0.04886000000000001,-0.19600000000000004
1773161978.0233288,-1.0360921857999998,-0.08793623055000001,9.491729048549999,0.039400807863771994,0.008246680715673207,-0.00015271630954950385,0.06174000000000001,-0.050260000000000006,-0.19292
1773161978.0767376,-0.65623159805,-0.04247260115,10.2580304862,0.02825251726665821,0.01756237559819294,-0.0019853120241435504,0.07042,-0.05614000000000001,-0.19964
1773161978.1302643,-0.23389840915,-0.31884361145,9.4612205604,0.051312680008633295,0.011301006906663285,-0.0754418569174549,0.07266000000000002,-0.05698,-0.20146
1773161978.1836064,-0.7274180704000001,-0.36370903520000003,9.263214490249998,0.07131851655961831,0.008552113334772215,-0.09086620418195479,0.06930000000000001,-0.05306,-0.20006000000000004
