DAC,ADC0,ADC1,ADC2,ADC3
2056,19994,4320,4247,-1
2060,20030,4351,4278,-2
2064,20068,4381,4309,-2
2068,20101,4412,4338,-1
2072,20134,4444,4366,-1
2076,20172,4476,4397,-2
2080,20208,4505,4428,-1
2084,20241,4536,4458,-2
2088,20274,4567,4488,-2
2092,20310,4598,4518,-1
2096,20346,4630,4548,-1
2100,20379,4660,4580,-2
2104,20414,4687,4610,-1
2108,20451,4720,4640,-2
2112,20482,4751,4670,-2
2116,20525,4788,4705,-1
2120,20566,4823,4740,-1
2124,20607,4858,4777,-1
2128,20647,4896,4809,-2
2132,20684,4929,4846,-2
2136,20725,4968,4882,-1
2140,20766,5001,4916,-2
2144,20809,5038,4952,-2
2148,20848,5075,4987,-2
2152,20886,5110,5022,-2
2156,20930,5149,5058,-1
2160,20968,5183,5094,-2
2164,21008,5218,5130,-2
2168,21047,5251,5163,-2
2172,21088,5292,5199,-2
2176,21131,5328,5236,-2
2180,21165,5356,5264,-2
2184,21201,5387,5296,-2
2188,21235,5417,5324,-2
2192,21269,5449,5352,-2
2196,21299,5478,5382,-1
2200,21337,5509,5415,-2
2204,21370,5538,5445,-1
2208,21407,5570,5474,-1
2212,21438,5602,5503,-2
2216,21474,5632,5535,-2
2220,21506,5663,5566,-2
2224,21542,5690,5592,-1
2228,21576,5724,5626,-1
2232,21610,5755,5655,-2
2236,21647,5786,5685,-2
2240,21679,5815,5714,-2
2244,21719,5850,5752,-2
2248,21760,5886,5786,-1
2252,21798,5921,5820,-2
2256,21837,5958,5855,-1
2260,21877,5992,5889,-1
2264,21916,6025,5923,-2
2268,21955,6061,5958,-2
2272,21992,6096,5991,-2
2276,22035,6134,6026,-1
2280,22073,6166,6060,-2
2284,22095,6187,6080,-2
2288,22100,6192,6086,-2
2292,22101,6194,6086,-2
2296,22103,6197,6090,-2
2300,22103,6197,6091,-2
2304,22104,6198,6091,-2
2308,22104,6199,6093,-2
2312,22104,6199,6093,-2
2316,22104,6201,6093,-2
2320,22104,6201,6094,-2
2324,22103,6199,6093,-2
2328,22103,6201,6095,-1
2332,22102,6202,6095,-2
2336,22104,6202,6096,-2
2340,22104,6202,6096,-2
2344,22103,6202,6095,-2
2348,22104,6203,6097,-2
2352,22104,6204,6098,-1
2356,22102,6204,6096,-2
2360,22101,6203,6096,-2
2364,22102,6204,6096,-2
2368,22102,6203,6097,-2
2372,22102,6204,6096,-2
2376,22101,6204,6096,-2
2380,22101,6203,6097,-1
2384,22102,6204,6097,-2
2388,22103,6205,6099,-1
2392,22102,6204,6099,-1
2396,22101,6205,6097,-2
2400,22103,6206,6099,-2
2404,22102,6206,6099,-2
2408,22102,6207,6099,-2
2412,22100,6205,6098,-2
2416,22100,6205,6097,-2
2420,22102,6206,6099,-2
2424,22099,6206,6099,-2
2428,22099,6207,6099,-2
2432,22099,6207,6100,-2
2436,22099,6208,6101,-2
2440,22098,6207,6100,-2
2444,22098,6207,6101,-2
2448,22097,6207,6100,-2
2452,22100,6207,6100,-2
2456,22097,6207,6099,-2
2460,22094,6206,6100,-1
2464,22096,6205,6099,-2
2468,22095,6205,6099,-2
2472,22095,6205,6098,-2
2476,22094,6205,6099,-2
2480,22093,6206,6098,-2
2484,22094,6207,6099,-2
2488,22093,6205,6099,-2
2492,22093,6206,6099,-2
2496,22092,6206,6098,-2
2500,22092,6206,6100,-2
2504,22093,6208,6101,-2
2508,22093,6208,6101,-2
2512,22092,6208,6100,-2
2516,22091,6207,6100,-2
2520,22092,6208,6100,-2
2524,22092,6208,6100,-2
2528,22091,6208,6101,-1
2532,22091,6208,6100,-2
2536,22092,6209,6101,-2
2540,22091,6209,6101,-2
2544,22089,6208,6101,-2
2548,22090,6208,6100,-2
2552,22090,6208,6100,-2
2556,22091,6209,6100,-2
2560,22090,6210,6100,-2
2564,22089,6209,6100,-2
2568,22089,6210,6100,-2
2572,22088,6210,6100,-2
2576,22088,6210,6099,-2
2580,22087,6211,6101,-2
2584,22089,6212,6102,-1
2588,22087,6211,6100,-1
2592,22087,6210,6098,-2
2596,22088,6212,6100,-2
2600,22089,6212,6101,-2
2604,22087,6212,6101,-2
2608,22088,6213,6101,-2
2612,22088,6214,6101,-2
2616,22088,6213,6100,-2
2620,22088,6214,6100,-2
2624,22088,6214,6101,-2
2628,22087,6214,6102,-2
2632,22087,6214,6100,-2
2636,22087,6214,6102,-2
2640,22087,6215,6101,-2
2644,22088,6214,6102,-2
2648,22087,6213,6101,-2
2652,22086,6213,6101,-2
2656,22088,6214,6103,-1
2660,22087,6215,6102,-2
2664,22087,6215,6102,-2
2668,22086,6213,6101,-2
