Index,deltaT_us,distance_cm,timestamp_ms
9,2909.0,49.89,490.0
10,2910.0,49.91,544.0
11,2908.0,49.87,599.0
12,2908.0,49.87,653.0
13,2908.0,49.87,707.0
14,2909.0,49.89,761.0
15,2911.0,49.92,816.0
16,2908.0,49.87,870.0
17,2909.0,49.89,924.0
18,2910.0,49.91,978.0
19,2910.0,49.91,1033.0
20,2908.0,49.87,1087.0
21,2908.0,49.87,1141.0
22,2912.0,49.94,1196.0
23,2909.0,49.89,1250.0
24,2909.0,49.89,1304.0
25,2915.0,49.99,1358.0
26,2913.0,49.96,1413.0
27,2910.0,49.91,1467.0
28,2908.0,49.87,1521.0
29,2912.0,49.94,1575.0
30,2911.0,49.92,1630.0
31,2909.0,49.89,1684.0
32,2911.0,49.92,1738.0
33,2909.0,49.89,1793.0
34,2908.0,49.87,1847.0
35,2908.0,49.87,1901.0
36,2909.0,49.89,1955.0
37,2910.0,49.91,2010.0
38,2910.0,49.91,2064.0
39,2909.0,49.89,2118.0
40,2911.0,49.92,2172.0
41,2910.0,49.91,2227.0
42,2911.0,49.92,2281.0
43,2909.0,49.89,2335.0
44,2915.0,49.99,2390.0
45,2913.0,49.96,2444.0
46,2909.0,49.89,2498.0
47,2908.0,49.87,2552.0
48,2910.0,49.91,2607.0
49,2912.0,49.94,2661.0
50,2911.0,49.92,2715.0
51,2908.0,49.87,2769.0
52,2908.0,49.87,2824.0
53,2909.0,49.89,2878.0
54,2914.0,49.98,2932.0
55,2911.0,49.92,2987.0
56,2910.0,49.91,3041.0
57,2909.0,49.89,3095.0
58,2911.0,49.92,3149.0
59,2909.0,49.89,3204.0
60,2909.0,49.89,3258.0
61,2910.0,49.91,3312.0
62,2909.0,49.89,3366.0
63,2911.0,49.92,3421.0
64,2908.0,49.87,3475.0
65,2910.0,49.91,3529.0
66,2908.0,49.87,3584.0
67,2909.0,49.89,3638.0
68,2914.0,49.98,3692.0
69,2913.0,49.96,3746.0
70,2908.0,49.87,3801.0
71,2910.0,49.91,3855.0
72,2910.0,49.91,3909.0
73,2909.0,49.89,3963.0
74,2910.0,49.91,4018.0
75,2910.0,49.91,4072.0
76,2908.0,49.87,4126.0
77,2908.0,49.87,4180.0
78,2910.0,49.91,4235.0
79,2910.0,49.91,4289.0
80,2909.0,49.89,4343.0
81,2909.0,49.89,4398.0
82,2914.0,49.98,4452.0
83,2913.0,49.96,4506.0
84,2912.0,49.94,4560.0
85,2909.0,49.89,4615.0
86,2910.0,49.91,4669.0
87,2912.0,49.94,4723.0
88,2910.0,49.91,4777.0
89,2911.0,49.92,4832.0
90,2909.0,49.89,4886.0
91,2913.0,49.96,4940.0
92,2910.0,49.91,4995.0
93,2909.0,49.89,5049.0
94,2908.0,49.87,5103.0
95,2911.0,49.92,5157.0
96,2909.0,49.89,5212.0
97,2909.0,49.89,5266.0
98,2914.0,49.98,5320.0
99,2913.0,49.96,5374.0
100,2909.0,49.89,5429.0
101,2911.0,49.92,5483.0
102,2908.0,49.87,5537.0
103,2908.0,49.87,5592.0
104,2909.0,49.89,5646.0
105,2909.0,49.89,5700.0
106,2910.0,49.91,5754.0
107,2909.0,49.89,5809.0
108,2910.0,49.91,5863.0
109,2910.0,49.91,5917.0
110,2910.0,49.91,5971.0
111,2909.0,49.89,6026.0
112,2910.0,49.91,6080.0
113,2908.0,49.87,6134.0
114,2908.0,49.87,6189.0
115,2909.0,49.89,6243.0
116,2908.0,49.87,6297.0
117,2908.0,49.87,6351.0
118,2911.0,49.92,6406.0
119,2915.0,49.99,6460.0
120,2915.0,49.99,6514.0
121,2914.0,49.98,6569.0
122,2908.0,49.87,6624.0
123,2908.0,49.87,6678.0
124,2908.0,49.87,6732.0
125,2909.0,49.89,6787.0
126,2910.0,49.91,6841.0
127,2908.0,49.87,6895.0
128,2908.0,49.87,6949.0
129,2909.0,49.89,7004.0
130,2909.0,49.89,7058.0
131,2908.0,49.87,7112.0
132,2908.0,49.87,7166.0
133,2908.0,49.87,7221.0
134,2908.0,49.87,7275.0
135,2908.0,49.87,7329.0
136,2908.0,49.87,7384.0
137,2908.0,49.87,7438.0
138,2908.0,49.87,7492.0
139,2909.0,49.89,7546.0
140,2915.0,49.99,7601.0
141,2914.0,49.98,7655.0
142,2914.0,49.98,7709.0
143,2913.0,49.96,7764.0
144,2909.0,49.89,7819.0
145,2910.0,49.91,7873.0
146,2910.0,49.91,7927.0
147,2909.0,49.89,7982.0
148,2908.0,49.87,8036.0
149,2909.0,49.89,8090.0
150,2909.0,49.89,8144.0
151,2908.0,49.87,8199.0
152,2908.0,49.87,8253.0
153,2909.0,49.89,8307.0
154,2910.0,49.91,8361.0
155,2908.0,49.87,8416.0
156,2910.0,49.91,8470.0
157,2910.0,49.91,8524.0
158,2909.0,49.89,8579.0
159,2908.0,49.87,8633.0
160,2908.0,49.87,8687.0
161,2916.0,50.01,8741.0
162,2913.0,49.96,8796.0
163,2915.0,49.99,8850.0
164,2908.0,49.87,8905.0
165,2909.0,49.89,8960.0
166,2909.0,49.89,9014.0
167,2909.0,49.89,9068.0
168,2909.0,49.89,9122.0
169,2908.0,49.87,9177.0
170,2908.0,49.87,9231.0
171,2909.0,49.89,9285.0
172,2908.0,49.87,9339.0
173,2909.0,49.89,9394.0
174,2910.0,49.91,9448.0
175,2910.0,49.91,9502.0
176,2910.0,49.91,9556.0
177,2910.0,49.91,9611.0
178,2909.0,49.89,9665.0
179,2910.0,49.91,9719.0
180,2909.0,49.89,9774.0
181,2912.0,49.94,9828.0
182,2916.0,50.01,9882.0
183,2915.0,49.99,9936.0
184,2915.0,49.99,9991.0
185,2910.0,49.91,10046.0
186,2910.0,49.91,10100.0
187,2910.0,49.91,10155.0
188,2910.0,49.91,10209.0
189,2910.0,49.91,10263.0
190,2911.0,49.92,10317.0
191,2909.0,49.89,10372.0
192,2910.0,49.91,10426.0
193,2908.0,49.87,10480.0
194,2909.0,49.89,10534.0
195,2916.0,50.01,10589.0
196,2908.0,49.87,10644.0
197,2909.0,49.89,10698.0
198,2908.0,49.87,10753.0
199,2909.0,49.89,10807.0
200,2909.0,49.89,10861.0
201,2911.0,49.92,10915.0
202,2909.0,49.89,10970.0
203,2911.0,49.92,11024.0
204,2909.0,49.89,11078.0
205,2911.0,49.92,11132.0
206,2915.0,49.99,11187.0
207,2915.0,49.99,11242.0
208,2910.0,49.91,11296.0
209,2910.0,49.91,11351.0
210,2911.0,49.92,11405.0
211,2912.0,49.94,11459.0
212,2909.0,49.89,11513.0
213,2911.0,49.92,11568.0
214,2911.0,49.92,11622.0
215,2910.0,49.91,11676.0
216,2909.0,49.89,11730.0
217,2915.0,49.99,11785.0
218,2910.0,49.91,11840.0
219,2909.0,49.89,11894.0
220,2911.0,49.92,11949.0
221,2910.0,49.91,12003.0
222,2912.0,49.94,12057.0
223,2910.0,49.91,12111.0
224,2911.0,49.92,12166.0
225,2909.0,49.89,12220.0
226,2910.0,49.91,12274.0
227,2911.0,49.92,12328.0
228,2915.0,49.99,12383.0
229,2911.0,49.92,12438.0
230,2912.0,49.94,12492.0
231,2909.0,49.89,12547.0
232,2910.0,49.91,12601.0
233,2909.0,49.89,12655.0
234,2909.0,49.89,12709.0
235,2911.0,49.92,12764.0
236,2909.0,49.89,12818.0
237,2909.0,49.89,12872.0
238,2911.0,49.92,12926.0
239,2915.0,49.99,12981.0
240,2910.0,49.91,13036.0
241,2909.0,49.89,13090.0
242,2910.0,49.91,13145.0
243,2910.0,49.91,13199.0
244,2909.0,49.89,13253.0
245,2910.0,49.91,13307.0
246,2910.0,49.91,13362.0
247,2909.0,49.89,13416.0
248,2911.0,49.92,13470.0
249,2910.0,49.91,13524.0
250,2915.0,49.99,13579.0
251,2910.0,49.91,13634.0
252,2909.0,49.89,13688.0
253,2910.0,49.91,13743.0
254,2911.0,49.92,13797.0
255,2911.0,49.92,13851.0
256,2911.0,49.92,13905.0
257,2909.0,49.89,13960.0
258,2912.0,49.94,14014.0
259,2909.0,49.89,14068.0
260,2917.0,50.03,14123.0
261,2916.0,50.01,14177.0
262,2911.0,49.92,14232.0
263,2910.0,49.91,14286.0
264,2908.0,49.87,14341.0
265,2909.0,49.89,14395.0
266,2909.0,49.89,14449.0
267,2909.0,49.89,14503.0
268,2909.0,49.89,14558.0
269,2909.0,49.89,14612.0
270,2911.0,49.92,14666.0
271,2909.0,49.89,14721.0
272,2917.0,50.03,14775.0
273,2911.0,49.92,14830.0
274,2911.0,49.92,14884.0
275,2910.0,49.91,14939.0
276,2909.0,49.89,14993.0
277,2912.0,49.94,15047.0
278,2911.0,49.92,15101.0
279,2909.0,49.89,15156.0
280,2909.0,49.89,15210.0
281,2911.0,49.92,15264.0
282,2916.0,50.01,15319.0
283,2915.0,49.99,15373.0
284,2911.0,49.92,15428.0
285,2911.0,49.92,15482.0
286,2910.0,49.91,15537.0
287,2909.0,49.89,15591.0
288,2911.0,49.92,15645.0
289,2910.0,49.91,15699.0
290,2910.0,49.91,15754.0
291,2909.0,49.89,15808.0
292,2909.0,49.89,15862.0
293,2915.0,49.99,15917.0
294,2916.0,50.01,15971.0
295,2910.0,49.91,16026.0
296,2910.0,49.91,16080.0
297,2909.0,49.89,16135.0
298,2912.0,49.94,16189.0
299,2909.0,49.89,16243.0
300,2911.0,49.92,16297.0
301,2910.0,49.91,16352.0
302,2909.0,49.89,16406.0
303,2910.0,49.91,16460.0
304,2915.0,49.99,16515.0
305,2916.0,50.01,16570.0
306,2909.0,49.89,16624.0
307,2909.0,49.89,16678.0
308,2910.0,49.91,16733.0
309,2909.0,49.89,16787.0
310,2910.0,49.91,16841.0
311,2909.0,49.89,16896.0
312,2909.0,49.89,16950.0
313,2910.0,49.91,17004.0
314,2909.0,49.89,17058.0
315,2915.0,49.99,17113.0
316,2915.0,49.99,17168.0
317,2909.0,49.89,17222.0
318,2908.0,49.87,17276.0
319,2910.0,49.91,17331.0
320,2910.0,49.91,17385.0
321,2909.0,49.89,17439.0
322,2909.0,49.89,17494.0
323,2908.0,49.87,17548.0
324,2910.0,49.91,17602.0
325,2910.0,49.91,17656.0
326,2915.0,49.99,17711.0
327,2916.0,50.01,17766.0
328,2909.0,49.89,17820.0
