Index,deltaT_us,distance_cm,timestamp_ms
8,6075.0,104.19,464.0
9,6075.0,104.19,522.0
10,6106.0,104.72,580.0
11,6054.0,103.83,637.0
12,6100.0,104.61,695.0
13,6100.0,104.61,752.0
14,6050.0,103.76,809.0
15,6050.0,103.76,867.0
16,6050.0,103.76,924.0
17,6074.0,104.17,982.0
18,6100.0,104.61,1039.0
19,6074.0,104.17,1097.0
20,6050.0,103.76,1155.0
21,6049.0,103.74,1212.0
22,6050.0,103.76,1269.0
23,6100.0,104.61,1327.0
24,6074.0,104.17,1384.0
25,6058.0,103.89,1442.0
26,6049.0,103.74,1500.0
27,6074.0,104.17,1557.0
28,6075.0,104.19,1614.0
29,6047.0,103.71,1672.0
30,6075.0,104.19,1729.0
31,6048.0,103.72,1786.0
32,6050.0,103.76,1845.0
33,6075.0,104.19,1902.0
34,6074.0,104.17,1959.0
35,6049.0,103.74,2017.0
36,6100.0,104.61,2074.0
37,6052.0,103.79,2131.0
38,6098.0,104.58,2189.0
39,6076.0,104.2,2247.0
40,6047.0,103.71,2305.0
41,6049.0,103.74,2362.0
42,6075.0,104.19,2419.0
43,6074.0,104.17,2477.0
44,6074.0,104.17,2534.0
45,6075.0,104.19,2592.0
46,6049.0,103.74,2650.0
47,6050.0,103.76,2707.0
48,6074.0,104.17,2764.0
49,6048.0,103.72,2822.0
50,6074.0,104.17,2879.0
51,6075.0,104.19,2936.0
52,6050.0,103.76,2995.0
53,6101.0,104.63,3052.0
54,6049.0,103.74,3109.0
55,6049.0,103.74,3167.0
56,6026.0,103.35,3224.0
57,5972.0,102.42,3281.0
58,6099.0,104.6,3339.0
59,5442.0,93.33,3396.0
60,5517.0,94.62,3452.0
61,6076.0,104.2,3511.0
62,6048.0,103.72,3568.0
63,6049.0,103.74,3625.0
64,4719.0,80.93,3682.0
65,4746.0,81.39,3738.0
66,6049.0,103.74,3795.0
67,6074.0,104.17,3853.0
68,6050.0,103.76,3910.0
69,6047.0,103.71,3968.0
70,6075.0,104.19,4025.0
71,6048.0,103.72,4082.0
72,6007.0,103.02,4140.0
73,5647.0,96.85,4197.0
74,5201.0,89.2,4253.0
75,5252.0,90.07,4311.0
76,5376.0,92.2,4367.0
77,5226.0,89.63,4423.0
78,5273.0,90.43,4481.0
79,5468.0,93.78,4537.0
80,5213.0,89.4,4594.0
81,5216.0,89.45,4651.0
82,5360.0,91.92,4707.0
83,6052.0,103.79,4764.0
84,5266.0,90.31,4822.0
85,5081.0,87.14,4878.0
86,5188.0,88.97,4934.0
87,5188.0,88.97,4990.0
88,6049.0,103.74,5048.0
89,5329.0,91.39,5105.0
90,5440.0,93.3,5161.0
91,6075.0,104.19,5219.0
92,5799.0,99.45,5276.0
93,5324.0,91.31,5334.0
