Index,deltaT_us,distance_cm,timestamp_ms
9,1713.0,29.38,478.0
10,1713.0,29.38,531.0
11,1713.0,29.38,584.0
12,1719.0,29.48,637.0
13,1695.0,29.07,690.0
14,1689.0,28.97,743.0
15,1713.0,29.38,796.0
16,1689.0,28.97,849.0
17,1719.0,29.48,902.0
18,1690.0,28.98,955.0
19,1713.0,29.38,1008.0
20,1713.0,29.38,1061.0
21,1713.0,29.38,1115.0
22,1719.0,29.48,1167.0
23,1719.0,29.48,1220.0
24,1713.0,29.38,1273.0
25,1713.0,29.38,1327.0
26,1713.0,29.38,1380.0
27,1689.0,28.97,1433.0
28,1719.0,29.48,1485.0
29,1695.0,29.07,1539.0
30,1690.0,28.98,1592.0
31,1689.0,28.97,1645.0
32,1689.0,28.97,1698.0
33,1719.0,29.48,1751.0
34,1719.0,29.48,1804.0
35,1713.0,29.38,1857.0
36,1713.0,29.38,1910.0
37,1691.0,29.0,1964.0
38,1689.0,28.97,2017.0
39,1718.0,29.46,2069.0
40,1719.0,29.48,2122.0
41,1713.0,29.38,2176.0
42,1712.0,29.36,2229.0
43,1713.0,29.38,2282.0
44,1713.0,29.38,2335.0
45,1718.0,29.46,2387.0
46,1696.0,29.09,2441.0
47,1712.0,29.36,2494.0
48,1713.0,29.38,2547.0
49,1712.0,29.36,2600.0
50,1698.0,29.12,2654.0
51,1697.0,29.1,2706.0
52,1692.0,29.02,2759.0
53,1691.0,29.0,2812.0
54,1691.0,29.0,2866.0
55,1691.0,29.0,2919.0
56,1697.0,29.1,2971.0
57,1691.0,29.0,3024.0
58,1691.0,29.0,3078.0
59,1691.0,29.0,3131.0
60,1691.0,29.0,3184.0
61,1719.0,29.48,3236.0
62,1719.0,29.48,3290.0
63,1713.0,29.38,3343.0
64,1713.0,29.38,3396.0
65,1712.0,29.36,3449.0
66,1713.0,29.38,3503.0
67,1719.0,29.48,3555.0
68,1719.0,29.48,3608.0
69,1713.0,29.38,3661.0
70,1712.0,29.36,3715.0
71,1712.0,29.36,3768.0
72,1712.0,29.36,3821.0
73,1719.0,29.48,3873.0
74,1719.0,29.48,3927.0
75,1712.0,29.36,3980.0
76,1713.0,29.38,4033.0
77,1690.0,28.98,4086.0
78,1712.0,29.36,4140.0
79,1718.0,29.46,4192.0
80,1689.0,28.97,4245.0
81,1712.0,29.36,4298.0
82,1712.0,29.36,4352.0
83,1713.0,29.38,4405.0
84,1719.0,29.48,4458.0
85,1719.0,29.48,4510.0
86,1713.0,29.38,4563.0
87,1712.0,29.36,4617.0
88,1691.0,29.0,4670.0
89,1713.0,29.38,4723.0
90,1719.0,29.48,4775.0
91,1696.0,29.09,4829.0
92,1712.0,29.36,4882.0
93,1712.0,29.36,4935.0
94,1712.0,29.36,4988.0
95,1689.0,28.97,5042.0
96,1719.0,29.48,5094.0
97,1719.0,29.48,5147.0
98,1713.0,29.38,5200.0
99,1690.0,28.98,5254.0
100,1712.0,29.36,5307.0
101,1691.0,29.0,5360.0
102,1697.0,29.1,5412.0
103,1718.0,29.46,5466.0
104,1713.0,29.38,5519.0
105,1713.0,29.38,5572.0
106,1713.0,29.38,5625.0
107,1713.0,29.38,5679.0
108,1713.0,29.38,5732.0
109,1713.0,29.38,5785.0
110,1697.0,29.1,5837.0
111,1697.0,29.1,5891.0
112,1691.0,29.0,5944.0
113,1713.0,29.38,5997.0
114,1712.0,29.36,6050.0
115,1713.0,29.38,6104.0
116,1689.0,28.97,6157.0
117,1696.0,29.09,6209.0
118,1697.0,29.1,6262.0
119,1712.0,29.36,6316.0
120,1713.0,29.38,6369.0
121,1691.0,29.0,6422.0
122,1691.0,29.0,6475.0
123,1691.0,29.0,6529.0
124,1697.0,29.1,6581.0
125,1697.0,29.1,6634.0
126,1712.0,29.36,6687.0
127,1691.0,29.0,6740.0
128,1713.0,29.38,6794.0
129,1691.0,29.0,6847.0
130,1691.0,29.0,6900.0
131,1718.0,29.46,6952.0
132,1719.0,29.48,7006.0
133,1697.0,29.1,7059.0
134,1692.0,29.02,7112.0
135,1691.0,29.0,7165.0
136,1713.0,29.38,7219.0
137,1691.0,29.0,7272.0
138,1719.0,29.48,7325.0
139,1719.0,29.48,7377.0
140,1719.0,29.48,7431.0
141,1691.0,29.0,7484.0
142,1691.0,29.0,7537.0
143,1712.0,29.36,7590.0
144,1713.0,29.38,7644.0
145,1691.0,29.0,7697.0
146,1697.0,29.1,7749.0
147,1696.0,29.09,7802.0
148,1689.0,28.97,7856.0
149,1713.0,29.38,7909.0
150,1689.0,28.97,7962.0
151,1712.0,29.36,8015.0
152,1713.0,29.38,8069.0
153,1695.0,29.07,8121.0
154,1718.0,29.46,8174.0
155,1691.0,29.0,8227.0
156,1712.0,29.36,8281.0
157,1691.0,29.0,8334.0
158,1691.0,29.0,8387.0
159,1713.0,29.38,8440.0
160,1695.0,29.07,8493.0
161,1719.0,29.48,8546.0
162,1719.0,29.48,8599.0
163,1713.0,29.38,8652.0
164,1713.0,29.38,8706.0
165,1712.0,29.36,8759.0
166,1690.0,28.98,8812.0
167,1712.0,29.36,8865.0
168,1718.0,29.46,8918.0
