Index,deltaT_us,distance_cm,timestamp_ms
207,5763.0,98.84,11838.0
208,5743.0,98.49,11894.0
209,5768.0,98.92,11952.0
210,5745.0,98.53,12009.0
211,5738.0,98.41,12066.0
212,5739.0,98.42,12124.0
213,5788.0,99.26,12181.0
214,5712.0,97.96,12238.0
215,5738.0,98.41,12296.0
216,5788.0,99.26,12353.0
217,5719.0,98.08,12409.0
218,5720.0,98.1,12467.0
219,5740.0,98.44,12524.0
220,5738.0,98.41,12581.0
221,5762.0,98.82,12639.0
222,5763.0,98.84,12696.0
223,5738.0,98.41,12753.0
224,5713.0,97.98,12811.0
225,5770.0,98.96,12867.0
226,5746.0,98.54,12924.0
227,5745.0,98.53,12982.0
228,5764.0,98.85,13039.0
229,5714.0,98.0,13096.0
230,5740.0,98.44,13154.0
231,5764.0,98.85,13211.0
232,5713.0,97.98,13268.0
233,5796.0,99.4,13325.0
234,5719.0,98.08,13382.0
235,5745.0,98.53,13440.0
236,5715.0,98.01,13497.0
237,5789.0,99.28,13554.0
238,5739.0,98.42,13612.0
239,5713.0,97.98,13669.0
240,5712.0,97.96,13726.0
241,5795.0,99.38,13783.0
242,5745.0,98.53,13840.0
243,5795.0,99.38,13897.0
244,5737.0,98.39,13955.0
245,5741.0,98.46,14012.0
246,5713.0,97.98,14069.0
247,5738.0,98.41,14127.0
248,5738.0,98.41,14184.0
249,5745.0,98.53,14240.0
250,5743.0,98.49,14298.0
251,5718.0,98.06,14355.0
252,5738.0,98.41,14412.0
253,5788.0,99.26,14470.0
254,5787.0,99.25,14527.0
255,5711.0,97.94,14584.0
256,5788.0,99.26,14642.0
257,5737.0,98.39,14699.0
258,5717.0,98.05,14755.0
259,5744.0,98.51,14813.0
260,5766.0,98.89,14870.0
261,5787.0,99.25,14927.0
262,5787.0,99.25,14985.0
263,5737.0,98.39,15042.0
264,5710.0,97.93,15099.0
265,5760.0,98.78,15157.0
266,5737.0,98.39,15214.0
267,5716.0,98.03,15270.0
268,5793.0,99.35,15328.0
269,5717.0,98.05,15385.0
270,5737.0,98.39,15442.0
271,5787.0,99.25,15500.0
272,5736.0,98.37,15557.0
273,5760.0,98.78,15614.0
274,5737.0,98.39,15672.0
275,5787.0,99.25,15729.0
276,5717.0,98.05,15785.0
277,5744.0,98.51,15843.0
278,5787.0,99.25,15900.0
279,5787.0,99.25,15958.0
280,5737.0,98.39,16015.0
281,5712.0,97.96,16072.0
282,5786.0,99.23,16130.0
283,5738.0,98.41,16187.0
284,5743.0,98.49,16244.0
285,5717.0,98.05,16301.0
286,5743.0,98.49,16358.0
287,5763.0,98.84,16415.0
288,5710.0,97.93,16473.0
289,5762.0,98.82,16530.0
290,5788.0,99.26,16587.0
291,5787.0,99.25,16645.0
292,5712.0,97.96,16702.0
293,5793.0,99.35,16758.0
294,5716.0,98.03,16816.0
295,5791.0,99.32,16873.0
296,5762.0,98.82,16930.0
297,5736.0,98.37,16988.0
298,5738.0,98.41,17045.0
299,5737.0,98.39,17102.0
300,5812.0,99.68,17160.0
301,5737.0,98.39,17217.0
302,5769.0,98.94,17273.0
303,5767.0,98.9,17331.0
304,5747.0,98.56,17388.0
305,5787.0,99.25,17445.0
306,5711.0,97.94,17503.0
307,5710.0,97.93,17560.0
308,5788.0,99.26,17617.0
309,5712.0,97.96,17675.0
310,5714.0,98.0,17732.0
311,5719.0,98.08,17788.0
312,5718.0,98.06,17846.0
313,5763.0,98.84,17903.0
314,5762.0,98.82,17960.0
315,5739.0,98.42,18018.0
316,5739.0,98.42,18075.0
317,5712.0,97.96,18132.0
318,5719.0,98.08,18189.0
319,5794.0,99.37,18246.0
320,5744.0,98.51,18304.0
