Index,deltaT_us,distance_cm,timestamp_ms
9,660.0,11.32,467.0
10,666.0,11.42,519.0
11,660.0,11.32,571.0
12,659.0,11.3,623.0
13,666.0,11.42,674.0
14,660.0,11.32,727.0
15,660.0,11.32,779.0
16,666.0,11.42,831.0
17,666.0,11.42,882.0
18,685.0,11.75,934.0
19,659.0,11.3,987.0
20,666.0,11.42,1038.0
21,660.0,11.32,1090.0
22,660.0,11.32,1142.0
23,659.0,11.3,1195.0
24,665.0,11.4,1246.0
25,666.0,11.42,1298.0
26,659.0,11.3,1350.0
27,659.0,11.3,1402.0
28,666.0,11.42,1454.0
29,666.0,11.42,1506.0
30,660.0,11.32,1558.0
31,660.0,11.32,1610.0
32,666.0,11.42,1661.0
33,666.0,11.42,1714.0
34,660.0,11.32,1766.0
35,660.0,11.32,1818.0
36,666.0,11.42,1869.0
37,666.0,11.42,1922.0
38,635.0,10.89,1974.0
39,660.0,11.32,2026.0
40,641.0,10.99,2077.0
41,666.0,11.42,2129.0
42,660.0,11.32,2182.0
43,636.0,10.91,2234.0
44,642.0,11.01,2285.0
45,666.0,11.42,2337.0
46,659.0,11.3,2390.0
47,660.0,11.32,2442.0
48,666.0,11.42,2493.0
49,666.0,11.42,2545.0
50,660.0,11.32,2597.0
51,660.0,11.32,2650.0
52,666.0,11.42,2701.0
53,666.0,11.42,2753.0
54,659.0,11.3,2805.0
55,659.0,11.3,2857.0
56,666.0,11.42,2909.0
57,666.0,11.42,2961.0
58,660.0,11.32,3013.0
59,660.0,11.32,3065.0
60,666.0,11.42,3118.0
61,665.0,11.4,3169.0
62,659.0,11.3,3221.0
63,660.0,11.32,3273.0
64,659.0,11.3,3325.0
65,666.0,11.42,3377.0
66,660.0,11.32,3429.0
67,659.0,11.3,3481.0
68,660.0,11.32,3533.0
69,666.0,11.42,3585.0
70,660.0,11.32,3637.0
71,660.0,11.32,3689.0
72,659.0,11.3,3741.0
73,666.0,11.42,3792.0
74,660.0,11.32,3845.0
75,660.0,11.32,3897.0
76,660.0,11.32,3949.0
77,666.0,11.42,4000.0
78,660.0,11.32,4052.0
79,684.0,11.73,4105.0
80,660.0,11.32,4157.0
81,665.0,11.4,4208.0
82,661.0,11.34,4260.0
83,660.0,11.32,4313.0
84,659.0,11.3,4365.0
85,665.0,11.4,4416.0
86,666.0,11.42,4468.0
87,660.0,11.32,4520.0
88,660.0,11.32,4573.0
89,666.0,11.42,4624.0
90,665.0,11.4,4676.0
91,660.0,11.32,4728.0
92,660.0,11.32,4781.0
93,666.0,11.42,4832.0
94,666.0,11.42,4884.0
95,660.0,11.32,4936.0
96,660.0,11.32,4988.0
97,660.0,11.32,5041.0
98,666.0,11.42,5092.0
99,636.0,10.91,5144.0
100,635.0,10.89,5196.0
101,660.0,11.32,5249.0
102,666.0,11.42,5300.0
103,660.0,11.32,5352.0
104,635.0,10.89,5404.0
105,660.0,11.32,5456.0
106,660.0,11.32,5509.0
107,666.0,11.42,5560.0
108,660.0,11.32,5612.0
109,660.0,11.32,5664.0
110,660.0,11.32,5716.0
111,684.0,11.73,5769.0
112,666.0,11.42,5820.0
113,660.0,11.32,5872.0
114,660.0,11.32,5924.0
115,660.0,11.32,5977.0
116,660.0,11.32,6029.0
117,666.0,11.42,6080.0
118,660.0,11.32,6132.0
119,660.0,11.32,6184.0
120,636.0,10.91,6237.0
121,660.0,11.32,6289.0
122,666.0,11.42,6340.0
123,636.0,10.91,6392.0
124,660.0,11.32,6445.0
125,636.0,10.91,6497.0
126,666.0,11.42,6548.0
127,666.0,11.42,6600.0
128,660.0,11.32,6652.0
129,635.0,10.89,6705.0
130,660.0,11.32,6757.0
131,666.0,11.42,6808.0
132,666.0,11.42,6860.0
133,635.0,10.89,6913.0
134,660.0,11.32,6965.0
135,635.0,10.89,7017.0
136,666.0,11.42,7068.0
137,667.0,11.44,7120.0
138,660.0,11.32,7173.0
139,660.0,11.32,7225.0
140,636.0,10.91,7277.0
141,666.0,11.42,7328.0
142,666.0,11.42,7380.0
143,660.0,11.32,7433.0
144,635.0,10.89,7485.0
145,636.0,10.91,7537.0
146,666.0,11.42,7588.0
147,659.0,11.3,7641.0
148,660.0,11.32,7693.0
149,636.0,10.91,7745.0
150,660.0,11.32,7797.0
151,666.0,11.42,7848.0
152,660.0,11.32,7901.0
153,660.0,11.32,7953.0
154,659.0,11.3,8005.0
155,662.0,11.35,8057.0
156,666.0,11.42,8109.0
157,660.0,11.32,8161.0
158,660.0,11.32,8213.0
159,660.0,11.32,8265.0
160,662.0,11.35,8317.0
161,666.0,11.42,8369.0
162,659.0,11.3,8421.0
163,660.0,11.32,8473.0
164,660.0,11.32,8525.0
165,660.0,11.32,8578.0
166,666.0,11.42,8629.0
167,660.0,11.32,8681.0
168,660.0,11.32,8733.0
169,660.0,11.32,8785.0
170,661.0,11.34,8838.0
171,666.0,11.42,8889.0
172,660.0,11.32,8941.0
173,660.0,11.32,8993.0
174,660.0,11.32,9046.0
175,662.0,11.35,9098.0
176,666.0,11.42,9149.0
177,660.0,11.32,9201.0
178,660.0,11.32,9253.0
179,660.0,11.32,9306.0
180,660.0,11.32,9358.0
181,666.0,11.42,9409.0
182,659.0,11.3,9461.0
183,660.0,11.32,9513.0
184,660.0,11.32,9566.0
185,662.0,11.35,9618.0
186,666.0,11.42,9669.0
187,659.0,11.3,9721.0
188,660.0,11.32,9774.0
189,660.0,11.32,9826.0
190,660.0,11.32,9878.0
191,666.0,11.42,9929.0
192,660.0,11.32,9981.0
193,660.0,11.32,10034.0
194,660.0,11.32,10086.0
195,660.0,11.32,10138.0
196,691.0,11.85,10189.0
197,666.0,11.42,10242.0
