Index,deltaT_us,distance_cm,timestamp_ms
208,5764.0,98.85,11896.0
209,5788.0,99.26,11954.0
210,5810.0,99.64,12011.0
211,5766.0,98.89,12068.0
212,5811.0,99.66,12126.0
213,5789.0,99.28,12183.0
214,5837.0,100.1,12240.0
215,5592.0,95.9,12298.0
216,5841.0,100.17,12354.0
217,5795.0,99.38,12411.0
218,5794.0,99.37,12469.0
219,5795.0,99.38,12526.0
220,5771.0,98.97,12583.0
221,5764.0,98.85,12641.0
222,5789.0,99.28,12698.0
223,5765.0,98.87,12755.0
224,5835.0,100.07,12813.0
225,5765.0,98.87,12870.0
226,5811.0,99.66,12928.0
227,5764.0,98.85,12985.0
228,5788.0,99.26,13042.0
229,5794.0,99.37,13100.0
230,5795.0,99.38,13156.0
231,5770.0,98.96,13213.0
232,5794.0,99.37,13271.0
233,5811.0,99.66,13328.0
234,5788.0,99.26,13385.0
235,5837.0,100.1,13443.0
236,5835.0,100.07,13500.0
237,5810.0,99.64,13557.0
238,5764.0,98.85,13615.0
239,5811.0,99.66,13672.0
240,5810.0,99.64,13729.0
241,5788.0,99.26,13787.0
242,5764.0,98.85,13844.0
243,5811.0,99.66,13901.0
244,5769.0,98.94,13959.0
245,5816.0,99.74,14015.0
246,5793.0,99.35,14072.0
247,5769.0,98.94,14130.0
248,5834.0,100.05,14187.0
249,5714.0,98.0,14244.0
250,5787.0,99.25,14302.0
251,5739.0,98.42,14359.0
252,5763.0,98.84,14416.0
253,5763.0,98.84,14474.0
254,5787.0,99.25,14531.0
255,5810.0,99.64,14588.0
256,5696.0,97.69,14645.0
257,5839.0,100.14,14702.0
258,5794.0,99.37,14759.0
259,5770.0,98.96,14817.0
260,5788.0,99.26,14874.0
261,5788.0,99.26,14931.0
262,5765.0,98.87,14989.0
263,5766.0,98.89,15046.0
264,5788.0,99.26,15104.0
265,5811.0,99.66,15161.0
266,5811.0,99.66,15218.0
267,5722.0,98.13,15276.0
268,5795.0,99.38,15332.0
269,5818.0,99.78,15389.0
270,5795.0,99.38,15447.0
271,5794.0,99.37,15504.0
272,5765.0,98.87,15561.0
273,5740.0,98.44,15619.0
274,5766.0,98.89,15676.0
275,5274.0,90.45,15732.0
276,5795.0,99.38,15790.0
277,5839.0,100.14,15847.0
278,5812.0,99.68,15904.0
279,5814.0,99.71,15962.0
280,5741.0,98.46,16019.0
281,5790.0,99.3,16076.0
282,5766.0,98.89,16134.0
283,5812.0,99.68,16191.0
284,5742.0,98.48,16248.0
285,5790.0,99.3,16306.0
286,5772.0,98.99,16362.0
287,5771.0,98.97,16419.0
288,5747.0,98.56,16477.0
289,5812.0,99.68,16534.0
290,5835.0,100.07,16591.0
291,5790.0,99.3,16649.0
292,5788.0,99.26,16706.0
293,5812.0,99.68,16763.0
294,5741.0,98.46,16821.0
295,5838.0,100.12,16878.0
296,5766.0,98.89,16935.0
297,5812.0,99.68,16993.0
298,5767.0,98.9,17050.0
299,5794.0,99.37,17107.0
300,5771.0,98.97,17164.0
301,5795.0,99.38,17221.0
302,5772.0,98.99,17278.0
303,5766.0,98.89,17336.0
304,5766.0,98.89,17393.0
305,5814.0,99.71,17451.0
306,5716.0,98.03,17508.0
307,5766.0,98.89,17565.0
308,5813.0,99.69,17623.0
309,5766.0,98.89,17680.0
310,5748.0,98.58,17736.0
311,5818.0,99.78,17794.0
312,5796.0,99.4,17851.0
313,5844.0,100.22,17908.0
314,5795.0,99.38,17966.0
315,5742.0,98.48,18023.0
316,5766.0,98.89,18080.0
317,5467.0,93.76,18138.0
318,5812.0,99.68,18195.0
319,5773.0,99.01,18251.0
320,5772.0,98.99,18309.0
321,5773.0,99.01,18366.0
322,5789.0,99.28,18423.0
323,5741.0,98.46,18481.0
324,5642.0,96.76,18538.0
325,5838.0,100.12,18595.0
326,5743.0,98.49,18653.0
327,5838.0,100.12,18710.0
328,5765.0,98.87,18767.0
