Index,deltaT_us,distance_cm,timestamp_ms
208,2851.0,48.89,11285.0
209,2849.0,48.86,11339.0
210,2848.0,48.84,11394.0
211,2849.0,48.86,11448.0
212,2848.0,48.84,11502.0
213,2850.0,48.88,11556.0
214,2849.0,48.86,11611.0
215,2850.0,48.88,11665.0
216,2850.0,48.88,11719.0
217,2850.0,48.88,11773.0
218,2851.0,48.89,11828.0
219,2850.0,48.88,11882.0
220,2849.0,48.86,11936.0
221,2850.0,48.88,11991.0
222,2848.0,48.84,12045.0
223,2849.0,48.86,12099.0
224,2850.0,48.88,12153.0
225,2851.0,48.89,12208.0
226,2848.0,48.84,12262.0
227,2848.0,48.84,12316.0
228,2848.0,48.84,12370.0
229,2856.0,48.98,12425.0
230,2856.0,48.98,12479.0
231,2856.0,48.98,12533.0
232,2853.0,48.93,12588.0
233,2856.0,48.98,12642.0
234,2855.0,48.96,12697.0
235,2850.0,48.88,12751.0
236,2849.0,48.86,12806.0
237,2850.0,48.88,12860.0
238,2850.0,48.88,12914.0
239,2871.0,49.24,12968.0
240,2850.0,48.88,13023.0
241,2849.0,48.86,13077.0
242,2849.0,48.86,13131.0
243,2850.0,48.88,13186.0
244,2849.0,48.86,13240.0
245,2850.0,48.88,13294.0
246,2849.0,48.86,13348.0
247,2849.0,48.86,13403.0
248,2849.0,48.86,13457.0
249,2850.0,48.88,13511.0
250,2850.0,48.88,13565.0
251,2850.0,48.88,13620.0
252,2849.0,48.86,13674.0
253,2849.0,48.86,13728.0
254,2848.0,48.84,13783.0
255,2850.0,48.88,13837.0
256,2848.0,48.84,13891.0
257,2848.0,48.84,13945.0
258,2856.0,48.98,14000.0
259,2855.0,48.96,14054.0
260,2856.0,48.98,14108.0
261,2853.0,48.93,14162.0
262,2853.0,48.93,14217.0
263,2852.0,48.91,14272.0
264,2850.0,48.88,14326.0
265,2847.0,48.83,14381.0
266,2848.0,48.84,14435.0
267,2850.0,48.88,14489.0
268,2848.0,48.84,14543.0
269,2850.0,48.88,14598.0
270,2848.0,48.84,14652.0
271,2847.0,48.83,14706.0
272,2850.0,48.88,14760.0
273,2850.0,48.88,14815.0
274,2849.0,48.86,14869.0
275,2849.0,48.86,14923.0
276,2847.0,48.83,14978.0
277,2848.0,48.84,15032.0
278,2848.0,48.84,15086.0
279,2847.0,48.83,15140.0
280,2849.0,48.86,15195.0
281,2847.0,48.83,15249.0
282,2849.0,48.86,15303.0
283,2847.0,48.83,15357.0
284,2847.0,48.83,15412.0
285,2847.0,48.83,15466.0
286,2853.0,48.93,15520.0
287,2853.0,48.93,15575.0
288,2854.0,48.95,15629.0
289,2855.0,48.96,15683.0
290,2855.0,48.96,15737.0
291,2856.0,48.98,15793.0
292,2850.0,48.88,15847.0
293,2850.0,48.88,15901.0
294,2850.0,48.88,15955.0
295,2849.0,48.86,16010.0
296,2847.0,48.83,16064.0
297,2849.0,48.86,16118.0
298,2850.0,48.88,16173.0
299,2849.0,48.86,16227.0
300,2850.0,48.88,16281.0
301,2849.0,48.86,16335.0
302,2850.0,48.88,16390.0
303,2850.0,48.88,16444.0
304,2850.0,48.88,16498.0
305,2849.0,48.86,16552.0
306,2849.0,48.86,16607.0
307,2851.0,48.89,16661.0
308,2850.0,48.88,16715.0
309,2849.0,48.86,16770.0
310,2848.0,48.84,16824.0
311,2850.0,48.88,16878.0
312,2850.0,48.88,16932.0
313,2848.0,48.84,16987.0
314,2854.0,48.95,17041.0
315,2855.0,48.96,17095.0
316,2856.0,48.98,17149.0
317,2855.0,48.96,17204.0
318,2856.0,48.98,17258.0
319,2856.0,48.98,17313.0
320,2850.0,48.88,17368.0
321,2851.0,48.89,17422.0
322,2848.0,48.84,17476.0
323,2850.0,48.88,17530.0
324,2850.0,48.88,17585.0
325,2850.0,48.88,17639.0
326,2850.0,48.88,17693.0
327,2849.0,48.86,17747.0
328,2851.0,48.89,17802.0
329,2849.0,48.86,17856.0
330,2850.0,48.88,17910.0
331,2849.0,48.86,17965.0
332,2850.0,48.88,18019.0
333,2850.0,48.88,18073.0
334,2849.0,48.86,18127.0
335,2850.0,48.88,18182.0
336,2849.0,48.86,18236.0
337,2849.0,48.86,18290.0
338,2849.0,48.86,18344.0
339,2849.0,48.86,18399.0
340,2849.0,48.86,18453.0
341,2850.0,48.88,18507.0
342,2849.0,48.86,18562.0
343,2857.0,49.0,18616.0
344,2856.0,48.98,18670.0
345,2856.0,48.98,18724.0
346,2855.0,48.96,18779.0
347,2855.0,48.96,18833.0
