Index,deltaT_us,distance_cm,timestamp_ms
9,1749.0,30.0,479.0
10,1754.0,30.08,531.0
11,1748.0,29.98,584.0
12,1749.0,30.0,637.0
13,1748.0,29.98,691.0
14,1748.0,29.98,744.0
15,1755.0,30.1,796.0
16,1755.0,30.1,849.0
17,1749.0,30.0,903.0
18,1749.0,30.0,956.0
19,1749.0,30.0,1009.0
20,1748.0,29.98,1062.0
21,1755.0,30.1,1115.0
22,1754.0,30.08,1168.0
23,1748.0,29.98,1221.0
24,1748.0,29.98,1274.0
25,1747.0,29.96,1328.0
26,1749.0,30.0,1381.0
27,1748.0,29.98,1434.0
28,1750.0,30.01,1487.0
29,1754.0,30.08,1540.0
30,1754.0,30.08,1593.0
31,1749.0,30.0,1646.0
32,1749.0,30.0,1699.0
33,1747.0,29.96,1753.0
34,1748.0,29.98,1806.0
35,1748.0,29.98,1859.0
36,1754.0,30.08,1911.0
37,1754.0,30.08,1965.0
38,1748.0,29.98,2018.0
39,1748.0,29.98,2071.0
40,1748.0,29.98,2124.0
41,1748.0,29.98,2178.0
42,1748.0,29.98,2231.0
43,1755.0,30.1,2283.0
44,1754.0,30.08,2336.0
45,1748.0,29.98,2390.0
46,1748.0,29.98,2443.0
47,1749.0,30.0,2496.0
48,1751.0,30.03,2549.0
49,1748.0,29.98,2603.0
50,1755.0,30.1,2656.0
51,1754.0,30.08,2708.0
52,1749.0,30.0,2761.0
53,1748.0,29.98,2814.0
54,1749.0,30.0,2868.0
55,1749.0,30.0,2921.0
56,1748.0,29.98,2974.0
57,1749.0,30.0,3027.0
58,1754.0,30.08,3080.0
59,1754.0,30.08,3133.0
60,1748.0,29.98,3186.0
61,1748.0,29.98,3239.0
62,1748.0,29.98,3293.0
63,1748.0,29.98,3346.0
64,1748.0,29.98,3399.0
65,1754.0,30.08,3451.0
66,1754.0,30.08,3505.0
67,1749.0,30.0,3558.0
68,1748.0,29.98,3611.0
69,1748.0,29.98,3664.0
70,1750.0,30.01,3718.0
71,1749.0,30.0,3771.0
72,1754.0,30.08,3823.0
73,1754.0,30.08,3876.0
74,1748.0,29.98,3930.0
75,1748.0,29.98,3983.0
76,1748.0,29.98,4036.0
77,1750.0,30.01,4089.0
78,1749.0,30.0,4143.0
79,1754.0,30.08,4196.0
80,1757.0,30.13,4248.0
81,1756.0,30.12,4301.0
82,1750.0,30.01,4355.0
83,1748.0,29.98,4408.0
84,1748.0,29.98,4461.0
85,1749.0,30.0,4514.0
86,1748.0,29.98,4568.0
87,1754.0,30.08,4620.0
88,1757.0,30.13,4673.0
89,1750.0,30.01,4726.0
90,1747.0,29.96,4780.0
91,1750.0,30.01,4833.0
92,1751.0,30.03,4886.0
93,1748.0,29.98,4939.0
94,1754.0,30.08,4993.0
95,1754.0,30.08,5045.0
96,1748.0,29.98,5098.0
97,1750.0,30.01,5151.0
98,1748.0,29.98,5204.0
99,1748.0,29.98,5258.0
100,1748.0,29.98,5311.0
101,1748.0,29.98,5364.0
102,1757.0,30.13,5417.0
103,1754.0,30.08,5470.0
104,1757.0,30.13,5523.0
105,1748.0,29.98,5576.0
106,1749.0,30.0,5629.0
107,1748.0,29.98,5683.0
108,1748.0,29.98,5736.0
109,1748.0,29.98,5789.0
110,1748.0,29.98,5842.0
111,1748.0,29.98,5896.0
112,1748.0,29.98,5949.0
113,1754.0,30.08,6001.0
114,1754.0,30.08,6054.0
115,1754.0,30.08,6108.0
116,1748.0,29.98,6161.0
117,1750.0,30.01,6214.0
118,1748.0,29.98,6267.0
119,1747.0,29.96,6321.0
120,1748.0,29.98,6374.0
121,1748.0,29.98,6427.0
122,1748.0,29.98,6480.0
123,1748.0,29.98,6534.0
124,1754.0,30.08,6586.0
125,1754.0,30.08,6639.0
126,1754.0,30.08,6692.0
127,1748.0,29.98,6746.0
128,1751.0,30.03,6799.0
129,1750.0,30.01,6852.0
130,1751.0,30.03,6905.0
131,1748.0,29.98,6959.0
132,1751.0,30.03,7012.0
133,1748.0,29.98,7065.0
134,1754.0,30.08,7118.0
135,1754.0,30.08,7171.0
136,1755.0,30.1,7224.0
137,1748.0,29.98,7277.0
138,1751.0,30.03,7330.0
139,1748.0,29.98,7384.0
140,1748.0,29.98,7437.0
141,1749.0,30.0,7490.0
142,1748.0,29.98,7543.0
143,1748.0,29.98,7597.0
144,1750.0,30.01,7650.0
145,1756.0,30.12,7702.0
146,1754.0,30.08,7755.0
147,1755.0,30.1,7809.0
